First Name,Last Name,Credentials,Internal Label,Gender,Pulse Location,Location Address 1,Building Name 1,Location Address 2,Building Name 2,Phone Number,Availability,Ages Treated,Specialties,Treatment Modialities,Additional Considerations
Tiffany,Bongiorno,LCSW,Counseling,Female,Addison,,,,,,Closed to Referrals,"26-64,65+","Aggression/Impulse Control,Anxiety,ADHD,Bipolar,Depression,Domestic Violence/Abuse,Eating Disorder,Grief and Loss,Infertility,OCD,Parenting,Perinatal,Psychosis,PTSD/Trauma,Relationship Issues,Sexual Dysfunction/Addiction,Sleep Issues,Substance Use,Other Addictions","DBT,ACT,Solution-Focused Therapy",
Carol,Crews,LCSW,Counseling,Female,Addison,,,,,,Closed to Referrals,65+,"Anxiety,Bipolar,Chronic Illness/Pain,Depression,Death and Dying,Grief and Loss,Psychosis","ACT,CBT,DBT,Mindfulness,Motivational Interviewing",Will see ages 40+
John,Schroeder,LPC,Counseling,Male,Addison,,,,,,Open to Referrals,"13-17,18-25,26-64","Aggression/Impulse Control,Anxiety,Behavioral Issues,Depression,Gender Identity,LGBTQ+,Personality Disorders,Racial/Ethnic Concerns,Relationship Issues","DBT,Motivational Interviewing",Step downs only
Yaritza,Camargo,LSW,Counseling,Female,Mokena,,,,,,Open to Referrals,"5-9,10-12,13-17,18-25","Aggression/Impulse Control,Anxiety,ADHD,Behavioral Issues,Depression,Family Therapy,Grief and Loss,PTSD/Trauma,Refusal","Behavior Therapy,CBT,DBT,Mindfulness,Play Therapy,Family Systems",Step downs only
Victoria,Christman-Kuston,LCPC,Counseling,Female,Mokena,,,,,,Open to Referrals,"5-9,10-12,13-17,18-25,26-64",,"CBT,Solution Focused Therapy,Mindfulness,Play Therapy",Step downs only
Angela,Dea,LCSW,Counseling,Female,Mokena,,,,,,Closed to Referrals,"18-25,26-64,65+",,CBT,
Byeol,Shim,LCPC,Counseling,Female,Addison,,,,,,Closed to Referrals,"13-17,18-25,26-64","Anxiety,ADHD,Bipolar,Depression,Grief and Loss,Infertility,LGBTQ+,Parenting,Perinatal,Personality Disorders,PTSD/Trauma,Racial/Ethnic Concerns,Relationship Issues","Art Therapy,DBT,ACT,Mindfulness
 ",
Kavita,Adatia,LCPC,Counseling,Female,Hinsdale,,,,,,Open to Referrals,"10-12,13-17,18-25","Aggression/Impulse Control,Anxiety,ADHD,Behavioral Issues,Bipolar,Depression,Gender Identity,Grief and Loss,LGBTQ+,Parenting,PTSD/Trauma,Racial/Ethnic Concerns,Relationship Issues,Refusal,Sleep Issues,Spirituality","ACT,Behavior Therapy,Expressive Arts,Narrative,Solution Focused Therapy,Sandplay",Will see ages 8-40
Ian,Evans,LCPC,Counseling,Male,Hinsdale,,,,,,Closed to Referrals,"18-25,26-64","Adoption,Aggression/Impulse Control,Anxiety,Behavioral Issues,Bipolar,Depression,Death and Dying,Grief and Loss,Personality Disorders,PTSD/Trauma,Relationship Issues,Refusal,Spirituality,Substance Use","Behavior Therapy,CBT,Narrative",
Lauren,Gonzalez,LCSW,Counseling,Female,Hinsdale,,,,,,Closed to Referrals,"26-64,65+","Anxiety,Chronic Illness/Pain,Depression,Death and Dying,Dementia/Neurocognitive,Gender Identity,Infertility,LGBTQ+,Parenting,Perinatal,Racial/Ethnic Concerns,Relationship Issues,Spirituality","Motivational Interviewing,ACT,CBT,Mindfulness",
Aaron,Huth,LCSW,Counseling,Male,Hinsdale,,,,,,Closed to Referrals,"13-17,18-25,26-64,65+","Aggression/Impulse Control,Anxiety,ADHD,ASD/Intellectual Disorders,Behavioral Issues,Bipolar,Chronic Illness/Pain,Depression,Death and Dying,Domestic Violence/Abuse,LGBTQ+,OCD,Personality Disorders,Psychosis,PTSD/Trauma,Relationship Issues,Substance Use,Other Addictions","Mindfulness,ACT,DBT",
Alicia,Noyes,LCSW,Counseling,Female,Hinsdale,,,,,,Closed to Referrals,"13-17,18-25,26-64","Anxiety,ADHD,ASD/Intellectual Disorders,Behavioral Issues,Bipolar,Depression,Gender Identity,Grief and Loss,LGBTQ+,OCD,Parenting,Personality Disorders,Relationship Issues,Refusal","ACT,Behavior Therapy,CPT,DBT,Motivational Interviewing",
Kelly,McElligott,LCSW,Counseling,Female,Hinsdale,,,,,,Closed to Referrals,"18-25,26-64","Anxiety,Chronic Illness/Pain,Depression,Gender Identity,Grief and Loss,LGBTQ+,Parenting,Perinatal,PTSD/Trauma,Relationship Issues",CBT,
Colleen,Pasciak,LCSW,Counseling,Female,Hinsdale,,,,,,Closed to Referrals,"18-25,26-64,65+","Anxiety,ADHD,ASD/Intellectual Disorders,Behavioral Issues,Bipolar,Depression,Death and Dying,Grief and Loss,Parenting,PTSD/Trauma,Relationship Issues","CBT,DBT,Mindfulness",
James,Rust,"LCPC,CADC",Counseling,Male,Hinsdale,,,,,,Closed to Referrals,"18-25,26-64,65+","Aggression/Impulse Control,Anxiety,Bipolar,Couples Counseling,Depression,Death and Dying,LGBTQ+,Parenting,Psychosis,PTSD/Trauma,Relationship Issues,Sexual Dysfunction/Addiction,Sleep Issues,Spirituality,Substance Use,Other Addictions","ACT,Adlerian,CBT,Mindfulness",
Thomas,Slonka,"LCSW,CADC",Counseling,Male,Hinsdale,,,,,,Closed to Referrals,"26-64,65+","Anxiety,Bipolar,Depression,Relationship Issues,Spirituality,Substance Use",,
Jordyn,Week,LPC,Counseling,,Hinsdale,,,,,,Closed to Referrals,"18-25,26-64","Adoption,Aggression/Impulse Control,Anxiety,ADHD,Behavioral Issues,Bipolar,Depression,Domestic Violence/Abuse,Gender Identity,Grief and Loss,LGBTQ+,Parenting,PTSD/Trauma,Relationship Issues,Substance Use,Other Addictions","CBT,CBT,Motivational Interviewing,Solution-Focused Therapy",
Michele,Wendt,LCPC,Counseling,Female,Hinsdale,,,,,,Closed to Referrals,"18-25,26-64,65+","Aggression/Impulse Control,Anxiety,ADHD,Behavioral Issues,Bipolar,Depression,Domestic Violence/Abuse,Gender Identity,Grief and Loss,LGBTQ+,Parenting,Perinatal,Personality Disorders,PTSD/Trauma,Racial/Ethnic Concerns,Relationship Issues,Sexual Dysfunction/Addiction,Sleep Issues,Substance Use","Adlerian,CBT,Mindfulness",
Cecilia,Kasem,LCPC,Counseling,Female,Virtual,,,,,,Closed to Referrals,"13-17,18-25,26-64,65+","Aggression/Impulse Control,Anxiety,Behavioral Issues,Bipolar,Chronic Illness/Pain,Couples Counseling,Depression,Domestic Violence/Abuse,Infertility,Perinatal,Racial/Ethnic Concerns,Relationship Issues","CBT,DBT,Solution-Focused Brief Therapy",Virtual only
Angela,Sakanis,LCPC,Counseling,Female,Virtual,,,,,,Closed to Referrals,"18-25,26-64,65+","Adoption,Anxiety,ADHD,Behavioral Issues,Bipolar,Chronic Illness/Pain,Depression,Death and Dying,Domestic Violence/Abuse,Gender Identity,Grief and Loss,Infertility,LGBTQ+,Parenting,Personality Disorders,Psychosis,PTSD/Trauma,Racial/Ethnic Concerns,Relationship Issues,Substance Use","SBT,DBT,Gottman",Virtual only and will also see  ages 16-17
